X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,fix_resp_2.rt,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.76,,,,,,,,,,,,,,,,,,,,,,,2,3,11,3,1,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.515,,,,,,,,,,,,,,,,,,,,,,,3,0,12,2,1,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.769,,,,,,,,,,,,,,,,,,,,,,,3,1,13,3,1,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,f,1,1.543,,,,,,,0.775,,,,,,,,,,,,,,,,3,2,14,1,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.637,,,,,,,,,,,,,,,,,,,,,,,3,3,15,0,1,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.339,,,,,,,,,,,,,,,,,,,,,,,4,0,16,3,1,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,2.302,,,,,,,,,,,,,,,,,,,,,,,4,1,17,1,1,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.834,,,,,,,,,,,,,,,,,,,,,,,4,2,18,2,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,f,1,0.759,,,,,,,0.772,,,,,,,,,,,,,,,,4,3,19,0,1,,,,,,
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,1,space,f,1,0.836,,,,,,,0.73,,,,,,,,,,,,,,,,5,0,20,1,1,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,0.99,,,,,,,,,,,,,,,,,,,,,,,5,1,21,3,1,,,,,,
,,,,,,,,,,,,,,,,1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,f,1,0.838,,,,,,,,,,,,,,,,,,,,,,,5,2,22,0,1,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,0,,j,1,1.1,,,,,,,,,,,,,,,,,,,,,,,5,3,23,2,1,,,,,,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HK,1,1,2020-11-29_11h21.21.703,global_local,2020.2.4,MacIntel,60,1366,768,,,f,1,0.877,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,1
