X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_resp2.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,1,-0.221780734,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,14.949005,,0,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,j,1,2.921365,,1,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,3.8985,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,2.56841,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/eomu.png,Stimuli/eimd.png,conf_face,f,0,1.68753,,1,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,1,-0.221780734,0,Stimuli/eimd.png,Stimuli/edmd.png,conf_face,j,1,3.023975,,0,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,3.101705,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,1,-0.221780734,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,2.400055,,0,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,6.647525,space,0,21,0,21,0,1,1.01597,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,f,0,3.05333,,1,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,0,-0.221780734,0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,f,0,3.098375,space,0,23,0,23,0,1,1.024445,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ho,3,1,2020-11-30_15h05.25.402,configural_featural,2020.2.4,Win32,60,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,conf_face,Designs/instructions_face_1234.png
